Year,Continent,Country,Population,Life_Expectancy,GDP_per_Capita
2007,Africa,Tunisia,10276158,73.923,7092.923025
1952,Europe,Turkey,22235677,43.585,1969.10098
1957,Europe,Turkey,25670939,48.079,2218.754257
1962,Europe,Turkey,29788695,52.098,2322.869908
1967,Europe,Turkey,33411317,54.336,2826.356387
1972,Europe,Turkey,37492953,57.005,3450.69638
1977,Europe,Turkey,42404033,59.507,4269.122326
1982,Europe,Turkey,47328791,61.036,4241.356344
1987,Europe,Turkey,52881328,63.108,5089.043686
1992,Europe,Turkey,58179144,66.146,5678.348271
1997,Europe,Turkey,63047647,68.835,6601.429915
2002,Europe,Turkey,67308928,70.845,6508.085718
2007,Europe,Turkey,71158647,71.777,8458.276384
1952,Africa,Uganda,5824797,39.978,734.753484
1957,Africa,Uganda,6675501,42.571,774.3710692
1962,Africa,Uganda,7688797,45.344,767.2717398
1967,Africa,Uganda,8900294,48.051,908.9185217
1972,Africa,Uganda,10190285,51.016,950.735869
1977,Africa,Uganda,11457758,50.35,843.7331372
1982,Africa,Uganda,12939400,49.849,682.2662268
1987,Africa,Uganda,15283050,51.509,617.7244065
1992,Africa,Uganda,18252190,48.825,644.1707969
1997,Africa,Uganda,21210254,44.578,816.559081
2002,Africa,Uganda,24739869,47.813,927.7210018
2007,Africa,Uganda,29170398,51.542,1056.380121
1952,Europe,United Kingdom,50430000,69.18,9979.508487
1957,Europe,United Kingdom,51430000,70.42,11283.17795
1962,Europe,United Kingdom,53292000,70.76,12477.17707
1967,Europe,United Kingdom,54959000,71.36,14142.85089
1972,Europe,United Kingdom,56079000,72.01,15895.11641
1977,Europe,United Kingdom,56179000,72.76,17428.74846
1982,Europe,United Kingdom,56339704,74.04,18232.42452
1987,Europe,United Kingdom,56981620,75.007,21664.78767
1992,Europe,United Kingdom,57866349,76.42,22705.09254
1997,Europe,United Kingdom,58808266,77.218,26074.53136
2002,Europe,United Kingdom,59912431,78.471,29478.99919
2007,Europe,United Kingdom,60776238,79.425,33203.26128
1952,Americas,United States,157553000,68.44,13990.48208
1957,Americas,United States,171984000,69.49,14847.12712
1962,Americas,United States,186538000,70.21,16173.14586
1967,Americas,United States,198712000,70.76,19530.36557
1972,Americas,United States,209896000,71.34,21806.03594
1977,Americas,United States,220239000,73.38,24072.63213
1982,Americas,United States,232187835,74.65,25009.55914
1987,Americas,United States,242803533,75.02,29884.35041
1992,Americas,United States,256894189,76.09,32003.93224
1997,Americas,United States,272911760,76.81,35767.43303
2002,Americas,United States,287675526,77.31,39097.09955
2007,Americas,United States,301139947,78.242,42951.65309
1952,Americas,Uruguay,2252965,66.071,5716.766744
1957,Americas,Uruguay,2424959,67.044,6150.772969
1962,Americas,Uruguay,2598466,68.253,5603.357717
1967,Americas,Uruguay,2748579,68.468,5444.61962
1972,Americas,Uruguay,2829526,68.673,5703.408898
1977,Americas,Uruguay,2873520,69.481,6504.339663
1982,Americas,Uruguay,2953997,70.805,6920.223051
1987,Americas,Uruguay,3045153,71.918,7452.398969
1992,Americas,Uruguay,3149262,72.752,8137.004775
1997,Americas,Uruguay,3262838,74.223,9230.240708
2002,Americas,Uruguay,3363085,75.307,7727.002004
2007,Americas,Uruguay,3447496,76.384,10611.46299
1952,Americas,Venezuela,5439568,55.088,7689.799761
1957,Americas,Venezuela,6702668,57.907,9802.466526
1962,Americas,Venezuela,8143375,60.77,8422.974165
1967,Americas,Venezuela,9709552,63.479,9541.474188
1972,Americas,Venezuela,11515649,65.712,10505.25966
1977,Americas,Venezuela,13503563,67.456,13143.95095
1982,Americas,Venezuela,15620766,68.557,11152.41011
1987,Americas,Venezuela,17910182,70.19,9883.584648
1992,Americas,Venezuela,20265563,71.15,10733.92631
1997,Americas,Venezuela,22374398,72.146,10165.49518
2002,Americas,Venezuela,24287670,72.766,8605.047831
2007,Americas,Venezuela,26084662,73.747,11415.80569
1952,Asia,Vietnam,26246839,40.412,605.0664917
1957,Asia,Vietnam,28998543,42.887,676.2854478
1962,Asia,Vietnam,33796140,45.363,772.0491602
1967,Asia,Vietnam,39463910,47.838,637.1232887
1972,Asia,Vietnam,44655014,50.254,699.5016441
1977,Asia,Vietnam,50533506,55.764,713.5371196
1982,Asia,Vietnam,56142181,58.816,707.2357863
1987,Asia,Vietnam,62826491,62.82,820.7994449
1992,Asia,Vietnam,69940728,67.662,989.0231487
1997,Asia,Vietnam,76048996,70.672,1385.896769
2002,Asia,Vietnam,80908147,73.017,1764.456677
2007,Asia,Vietnam,85262356,74.249,2441.576404
1952,Asia,West Bank and Gaza,1030585,43.16,1515.592329
1957,Asia,West Bank and Gaza,1070439,45.671,1827.067742
1962,Asia,West Bank and Gaza,1133134,48.127,2198.956312
1967,Asia,West Bank and Gaza,1142636,51.631,2649.715007
1972,Asia,West Bank and Gaza,1089572,56.532,3133.409277
1977,Asia,West Bank and Gaza,1261091,60.765,3682.831494
1982,Asia,West Bank and Gaza,1425876,64.406,4336.032082
1987,Asia,West Bank and Gaza,1691210,67.046,5107.197384
1992,Asia,West Bank and Gaza,2104779,69.718,6017.654756
1997,Asia,West Bank and Gaza,2826046,71.096,7110.667619
2002,Asia,West Bank and Gaza,3389578,72.37,4515.487575
2007,Asia,West Bank and Gaza,4018332,73.422,3025.349798
1952,Asia,"Yemen, Rep.",4963829,32.548,781.7175761
1957,Asia,"Yemen, Rep.",5498090,33.97,804.8304547
1962,Asia,"Yemen, Rep.",6120081,35.18,825.6232006
1967,Asia,"Yemen, Rep.",6740785,36.984,862.4421463
1972,Asia,"Yemen, Rep.",7407075,39.848,1265.047031
1977,Asia,"Yemen, Rep.",8403990,44.175,1829.765177
1982,Asia,"Yemen, Rep.",9657618,49.113,1977.55701
1987,Asia,"Yemen, Rep.",11219340,52.922,1971.741538
1992,Asia,"Yemen, Rep.",13367997,55.599,1879.496673
1997,Asia,"Yemen, Rep.",15826497,58.02,2117.484526
2002,Asia,"Yemen, Rep.",18701257,60.308,2234.820827
2007,Asia,"Yemen, Rep.",22211743,62.698,2280.769906
1952,Africa,Zambia,2672000,42.038,1147.388831
1957,Africa,Zambia,3016000,44.077,1311.956766
1962,Africa,Zambia,3421000,46.023,1452.725766
1967,Africa,Zambia,3900000,47.768,1777.077318
1972,Africa,Zambia,4506497,50.107,1773.498265
1977,Africa,Zambia,5216550,51.386,1588.688299
1982,Africa,Zambia,6100407,51.821,1408.678565
1987,Africa,Zambia,7272406,50.821,1213.315116
1992,Africa,Zambia,8381163,46.1,1210.884633
1997,Africa,Zambia,9417789,40.238,1071.353818
2002,Africa,Zambia,10595811,39.193,1071.613938
2007,Africa,Zambia,11746035,42.384,1271.211593
1952,Africa,Zimbabwe,3080907,48.451,406.8841148
1957,Africa,Zimbabwe,3646340,50.469,518.7642681
1962,Africa,Zimbabwe,4277736,52.358,527.2721818
1967,Africa,Zimbabwe,4995432,53.995,569.7950712
1972,Africa,Zimbabwe,5861135,55.635,799.3621758
1977,Africa,Zimbabwe,6642107,57.674,685.5876821
1982,Africa,Zimbabwe,7636524,60.363,788.8550411
1987,Africa,Zimbabwe,9216418,62.351,706.1573059
1992,Africa,Zimbabwe,10704340,60.377,693.4207856
1997,Africa,Zimbabwe,11404948,46.809,792.4499603
2002,Africa,Zimbabwe,11926563,39.989,672.0386227
2007,Africa,Zimbabwe,12311143,43.487,469.7092981
